"variable","mean","median","sd","lower","upper","rhat","ess_bulk","t"
"a",-4.42277462222222,-4.42596,0.10467073809483,-4.618778,-4.2015975,1.00092706828316,1019.42215852046,78
"a",-4.42397965555556,-4.425335,0.0917927417902757,-4.593973,-4.23310925,1.00132580391925,942.23500207765,79
"a",-4.42700932222222,-4.426325,0.0808735504438046,-4.58242925,-4.2632405,1.00068693155839,958.223848148152,80
"a",-4.43095325555556,-4.4296,0.072148137389448,-4.5691015,-4.2873045,0.999503663958475,1042.28265571031,81
"a",-4.43605598888889,-4.43553,0.065459252065701,-4.56470225,-4.31048525,0.998573697719009,1069.60663860864,82
"a",-4.44155534444444,-4.44162,0.0613053838553159,-4.5660115,-4.3296825,0.998639513716591,1128.60175023838,83
"a",-4.44687896666667,-4.44843,0.0589237474684654,-4.56678625,-4.3306915,0.999013506860206,1126.81219251079,84
"a",-4.44970573333333,-4.450715,0.0574350974485784,-4.5651095,-4.338903,1.00030717317955,1145.80038669131,85
"a",-4.44865482222222,-4.44679,0.0577788657420879,-4.56191575,-4.33914275,1.0010960699345,1231.46503694703,86
"a",-4.44379722222222,-4.442035,0.0576389552030806,-4.55186525,-4.3315265,1.00139242684587,1227.67060257357,87
"a",-4.43577726666667,-4.436055,0.0585747772548185,-4.5482935,-4.3267925,1.00116807434727,1217.28623659634,88
"a",-4.42432597777778,-4.42524,0.0598189225462437,-4.5398925,-4.31518575,1.00043584186314,1162.89131373456,89
"a",-4.40889168888889,-4.406695,0.0607515292696543,-4.52865575,-4.2988655,1.00077514361618,1044.45522155608,90
"a",-4.38913121111111,-4.38885,0.0619822150689188,-4.51362975,-4.27677675,0.999784810364877,978.239181003119,91
"a",-4.36599668888889,-4.36555,0.0625974315409223,-4.48871575,-4.24987825,0.999655777538556,996.565877031711,92
"a",-4.33773582222222,-4.33693,0.0640499421856408,-4.46349125,-4.214574,1.00000909401663,958.141794051385,93
"a",-4.30438663333333,-4.30185,0.0658180468665305,-4.432914,-4.17554375,1.00023236204955,934.388073174955,94
"a",-4.26493735555556,-4.26413,0.0679876282152091,-4.402808,-4.139141,1.00078718999502,923.016241362224,95
"a",-4.21932288888889,-4.218665,0.0705005854115353,-4.35937775,-4.088806,1.00062904635489,943.424682222364,96
"a",-4.16717814444444,-4.165025,0.0734285764493527,-4.314599,-4.0287965,1.00118241415565,1061.08646270461,97
"a",-4.10997725555556,-4.10602,0.0779961020625616,-4.263368,-3.9648775,1.00107474314057,1058.41516727729,98
"a",-4.0491437,-4.046405,0.0846250894708008,-4.221737,-3.8889755,1.00199294243756,1139.48679941053,99
"a",-3.98550414444444,-3.98265,0.0934078894065319,-4.170116,-3.810896,1.00475939842877,1300.00013497814,100
"a",-3.92036976666667,-3.918525,0.103897946484544,-4.12462825,-3.71699425,1.00170384114517,1348.37839881191,101
"a",-3.85397077777778,-3.852935,0.114837449082351,-4.08772975,-3.6310115,1.00167222429512,1336.67493262596,102
