"t","mean","lower","upper","variable","model","params","iter","confignum"
32,0.0479298507912108,0.011782371421946,0.0811821002478103,"rt","binomial","estimated",3,22
33,0.0530706744076679,0.0182285022042159,0.087411855522579,"rt","binomial","estimated",3,22
34,0.059587857136836,0.025902899783932,0.0928469556740787,"rt","binomial","estimated",3,22
35,0.0658683626928673,0.0331693559499863,0.0985289512469657,"rt","binomial","estimated",3,22
36,0.0724649949821493,0.0404880489920293,0.10575741872997,"rt","binomial","estimated",3,22
37,0.0790672479746501,0.047637656669167,0.114580477578676,"rt","binomial","estimated",3,22
38,0.0841288621857326,0.0532755773879134,0.120518565002873,"rt","binomial","estimated",3,22
39,0.0879112161849288,0.0566951845894741,0.124929889880374,"rt","binomial","estimated",3,22
40,0.0870112812473443,0.0564976090333448,0.121447403298639,"rt","binomial","estimated",3,22
41,0.0843774413074705,0.0531734677885724,0.11729561819443,"rt","binomial","estimated",3,22
42,0.0819753695988627,0.0496459706468565,0.113264111167548,"rt","binomial","estimated",3,22
43,0.0816382665200401,0.0507288241982529,0.11217506621452,"rt","binomial","estimated",3,22
44,0.0812015852515478,0.0503151396535313,0.111118833512414,"rt","binomial","estimated",3,22
45,0.0806420897253167,0.0501500918290069,0.110223027438765,"rt","binomial","estimated",3,22
46,0.0800098110488461,0.0500642991847742,0.109269934685599,"rt","binomial","estimated",3,22
47,0.0787417489357364,0.0495266298517707,0.106718472294625,"rt","binomial","estimated",3,22
48,0.076872495346958,0.0468523693944642,0.104837860824747,"rt","binomial","estimated",3,22
49,0.0744627322206541,0.0451038420617146,0.103115266686535,"rt","binomial","estimated",3,22
50,0.0755589739745234,0.0471386664695278,0.103981215471008,"rt","binomial","estimated",3,22
51,0.07631982224074,0.0490262224662354,0.104395408032177,"rt","binomial","estimated",3,22
52,0.0780984162671542,0.0518772467110797,0.10772688647179,"rt","binomial","estimated",3,22
53,0.0756762007397638,0.0492581697713155,0.105885692788599,"rt","binomial","estimated",3,22
54,0.0683141541549324,0.0413910992811664,0.0968653656588363,"rt","binomial","estimated",3,22
55,0.0584332789098015,0.0322479346389301,0.086019384270033,"rt","binomial","estimated",3,22
56,0.0487267571743871,0.022540298044768,0.074960299612701,"rt","binomial","estimated",3,22
57,0.0391478514213398,0.0130490469759887,0.0645533009377222,"rt","binomial","estimated",3,22
58,0.0313619402290234,0.00450257451292898,0.0571655115416441,"rt","binomial","estimated",3,22
59,0.0244163920650529,-0.00270562339200361,0.0497416010115863,"rt","binomial","estimated",3,22
60,0.0194605388733215,-0.00736540197248485,0.0447243579645049,"rt","binomial","estimated",3,22
61,0.01642669985187,-0.0113459712058787,0.0416385730767253,"rt","binomial","estimated",3,22
62,0.0144810502896948,-0.0125575757787615,0.0393157283032655,"rt","binomial","estimated",3,22
63,0.0142751944898853,-0.0114452252143781,0.0397142689016833,"rt","binomial","estimated",3,22
64,0.0127120789952334,-0.0126879547625444,0.0381217990950395,"rt","binomial","estimated",3,22
65,0.0129549291917498,-0.0130422978865075,0.0400204577340791,"rt","binomial","estimated",3,22
66,0.00867678925295184,-0.016789926989533,0.0345355799509479,"rt","binomial","estimated",3,22
67,0.00442610423912987,-0.0205997370725272,0.0297119522671858,"rt","binomial","estimated",3,22
68,-0.000119941738247684,-0.0245429338734678,0.0271489894464463,"rt","binomial","estimated",3,22
69,-0.00623776116816077,-0.0310783847209625,0.0201622067122463,"rt","binomial","estimated",3,22
70,-0.0132527492834532,-0.0392967962075016,0.0132570000950194,"rt","binomial","estimated",3,22
71,-0.0213378953140937,-0.0476591886309708,0.00434828333142696,"rt","binomial","estimated",3,22
72,-0.0242842761427006,-0.0503876778496684,0.00120119553378649,"rt","binomial","estimated",3,22
73,-0.0265805902922092,-0.0532946744805255,-0.000595652516541832,"rt","binomial","estimated",3,22
74,-0.0284927887958167,-0.0551683653534057,-0.00180963820399275,"rt","binomial","estimated",3,22
75,-0.0293911755111883,-0.0555587069446896,-0.00321898015758976,"rt","binomial","estimated",3,22
76,-0.0295218059667484,-0.0564336684936003,-0.00351597548985129,"rt","binomial","estimated",3,22
77,-0.0266636598892302,-0.0527404568782528,-0.00122183601132177,"rt","binomial","estimated",3,22
78,-0.0213819636394519,-0.0477994091531294,0.00423510234890067,"rt","binomial","estimated",3,22
79,-0.0163917649093935,-0.0436611022516365,0.00907240023708134,"rt","binomial","estimated",3,22
80,-0.0101511899334161,-0.0380635292467053,0.0158485262798936,"rt","binomial","estimated",3,22
81,-2.89402270139275e-05,-0.0279583789101719,0.0262176098970083,"rt","binomial","estimated",3,22
82,0.0105355021128501,-0.0164206738121582,0.0363219436548966,"rt","binomial","estimated",3,22
83,0.0219924345064358,-0.00445197220328791,0.049199167482765,"rt","binomial","estimated",3,22
84,0.0335741157004408,0.00748212773398905,0.0610626588369514,"rt","binomial","estimated",3,22
85,0.0440010122765015,0.0183750669490524,0.0712418502244434,"rt","binomial","estimated",3,22
86,0.0508187484277772,0.0254896591613091,0.078880236056307,"rt","binomial","estimated",3,22
87,0.0563364239066181,0.0313254563157552,0.0849569265109404,"rt","binomial","estimated",3,22
88,0.0572224914596766,0.0321669066253701,0.0852383012296219,"rt","binomial","estimated",3,22
89,0.052282709192652,0.0272324181456578,0.0787513000859303,"rt","binomial","estimated",3,22
