obsmethod,t,rt,Pt,nSamples,nPos,phat,ssw,iter,confignum
betabinom,1,0.0005585322316603745,0.010005586882398313,100000,923,0.00923,1.0e-5,6,30
betabinom,2,-0.017378476993324142,0.009833207207430264,100000,906,0.00906,1.0e-5,6,30
betabinom,3,0.008062364824558965,0.009912806559666669,100000,889,0.00889,1.0e-5,6,30
betabinom,4,0.01644208260475298,0.010077141042341305,100000,1047,0.01047,1.0e-5,6,30
betabinom,5,0.03110494017983645,0.01039551575584989,100000,852,0.00852,1.0e-5,6,30
betabinom,6,0.009756026817143042,0.01049743102201977,100000,969,0.00969,1.0e-5,6,30
betabinom,7,0.014031939164053615,0.01064576863376437,100000,1027,0.01027,1.0e-5,6,30
betabinom,8,0.014167139432035803,0.010797662130020787,100000,954,0.00954,1.0e-5,6,30
betabinom,9,0.014237506285776613,0.010952493503358134,100000,1275,0.01275,1.0e-5,6,30
betabinom,10,0.018060773781880493,0.011152101119035453,100000,1233,0.01233,1.0e-5,6,30
betabinom,11,0.0023307169462291957,0.011178123824099356,100000,982,0.00982,1.0e-5,6,30
betabinom,12,0.01259249463288015,0.011319774282882285,100000,1053,0.01053,1.0e-5,6,30
betabinom,13,0.014478994237517319,0.011484865522899155,100000,1068,0.01068,1.0e-5,6,30
betabinom,14,0.006997549518142237,0.011565513277351627,100000,1088,0.01088,1.0e-5,6,30
betabinom,15,0.011481224995680502,0.011699064737618163,100000,1226,0.01226,1.0e-5,6,30
betabinom,16,0.0006185090292225564,0.011706302953011876,100000,964,0.00964,1.0e-5,6,30
betabinom,17,0.0043535106012093415,0.011757377563279109,100000,1136,0.01136,1.0e-5,6,30
betabinom,18,0.00565953373547607,0.011824107490260683,100000,1347,0.01347,1.0e-5,6,30
betabinom,19,-0.02466331231121047,0.011536052629255184,100000,1365,0.01365,1.0e-5,6,30
betabinom,20,-0.021693555787764048,0.011288489597921976,100000,1187,0.01187,1.0e-5,6,30
betabinom,21,0.00430718814561655,0.011337216108293354,100000,1161,0.01161,1.0e-5,6,30
betabinom,22,0.0045664790449372735,0.011389105654171889,100000,1120,0.0112,1.0e-5,6,30
betabinom,23,-0.013435805695302557,0.011237107240700858,100000,1306,0.01306,1.0e-5,6,30
