obsmethod,t,rt,Pt,nSamples,nPos,phat,ssw,theoreticalvar,iter,confignum
weighted,4,0.010423219996970878,0.009652414287770313,10,0,0.0,0.11986531699879367,0.0012950663429053865,9,17
weighted,5,-0.0004801571871573176,0.009647780724185071,10,0,0.0,0.11361895443588711,0.0011610947820369813,9,17
weighted,6,-0.004436064000291197,0.009605077338935581,10,0,0.0,0.1459908929584845,0.0016957656225636685,9,17
weighted,7,-0.014489712567736159,0.009466905978189702,10,0,0.0,0.16470039025401537,0.0021628265172667954,9,17
weighted,8,-0.028901781855050435,0.009197211623474776,10,0,0.0,0.12384220287532179,0.0013073182799314886,9,17
weighted,9,-0.035389774983581396,0.008877416488791805,10,1,0.06834482477056052,0.1081813568442769,0.0010197160606809379,9,17
weighted,10,-0.006778637101821531,0.008817443202232392,10,0,0.0,0.12336669927717336,0.0012003965539012771,9,17
weighted,11,-0.017727314125007262,0.00866251094060829,10,1,0.13405669344434037,0.11415733035217336,0.0010932351687421074,9,17
weighted,12,-0.02036317481659455,0.008487898580651715,10,0,0.0,0.14101751993944586,0.0014533498993597295,9,17
weighted,13,0.00315342805350401,0.008514706804839027,10,0,0.0,0.14706858621103974,0.001650016185540154,9,17
weighted,14,-0.01893110890202713,0.008355030159831783,10,0,0.0,0.12257815924827614,0.001216832387654826,9,17
weighted,15,-0.014792742405624424,0.008232346005622245,10,0,0.0,0.11615775273070927,0.00107383450363041,9,17
weighted,16,-0.019840864112666917,0.008070618855820354,10,0,0.0,0.12293542558072147,0.0011539710231944294,9,17
weighted,17,-0.03540728175829569,0.007789859965694278,10,0,0.0,0.11980770871383307,0.0010755842717886524,9,17
weighted,18,-0.041016023212601505,0.007476814709736037,10,0,0.0,0.11920403555545239,0.0010526642105640252,9,17
weighted,19,-0.00686861585649598,0.007425635308698569,10,0,0.0,0.11071594110711803,0.0009049054362877298,9,17
weighted,20,0.00471981632562786,0.007460765782933839,10,0,0.0,0.13269614426646734,0.0011924231892395194,9,17
weighted,21,0.006746269029170417,0.007511268276232767,10,0,0.0,0.11690055237880974,0.0009923539280032201,9,17
weighted,22,0.014649269661592515,0.007622112783981761,10,1,0.050879682810454706,0.12571749694915915,0.0011208804362011328,9,17
weighted,23,0.0217500482681669,0.007789710123067558,10,0,0.0,0.10862244077510022,0.0009207338213818711,9,17
weighted,24,-0.0005484103785961363,0.007785439336368725,10,0,0.0,0.12414274828994964,0.0011004891381326785,9,17
weighted,25,0.015146395273800305,0.007904258245474837,10,0,0.0,0.1188034271359683,0.001069761135884604,9,17
weighted,26,0.021897116481623888,0.00807924759810618,10,0,0.0,0.12037153139062676,0.0010935013120469542,9,17
