"round","date","nSamples","nPos","phat","ssw"
9,2021-02-11,14640,73,0.00591477453456153,0.000116989994363584
9,2021-02-12,13933,54,0.00441013008967842,0.000120987442736462
9,2021-02-13,12034,60,0.00572535088007728,0.000140195705268336
9,2021-02-14,8578,45,0.00644605711129326,0.000211518994907355
9,2021-02-15,11456,27,0.00275255664163001,0.000156635388270705
9,2021-02-16,11426,44,0.00604226494382452,0.000149184117450483
9,2021-02-17,9386,31,0.00305459242811433,0.000182831376731514
9,2021-02-18,7629,29,0.00518245378631608,0.000233510822946413
9,2021-02-19,6297,16,0.00330849467778626,0.000282176709639714
9,2021-02-20,4953,24,0.00522424226759167,0.00036074742373657
9,2021-02-21,2583,10,0.0044412777239665,0.000632910144538551
9,2021-02-22,3596,15,0.00648748750160931,0.000489843325671824
10,2021-03-11,220,0,0,0.00831211283788106
10,2021-03-12,706,2,0.00269407657538269,0.00228886191861288
10,2021-03-13,7234,14,0.00302425296112244,0.000229947827439195
10,2021-03-14,6905,22,0.00455277502008374,0.000251865913176225
10,2021-03-15,10103,8,0.000534081918464979,0.000169175060174492
10,2021-03-16,11273,13,0.0017204275721266,0.000149463413743664
10,2021-03-17,12464,28,0.0022419810120783,0.000132068130069378
10,2021-03-18,12594,11,0.000829982832670483,0.000133402638443656
10,2021-03-19,11806,20,0.00167344405627186,0.000149099947118002
10,2021-03-20,11942,17,0.00199423742249114,0.000148890130454139
10,2021-03-21,8778,11,0.00130776662119497,0.000187225506992054
10,2021-03-22,10177,21,0.00196524938398984,0.000159709724673324
10,2021-03-23,8923,13,0.00211952623632862,0.000195753908783771
10,2021-03-24,7217,9,0.00178730092272151,0.000240209815172262
10,2021-03-25,5412,11,0.00256624669292819,0.000318464916717683
10,2021-03-26,4583,5,0.00241794822460625,0.000386996312375928
10,2021-03-27,4606,11,0.00350479019766301,0.000399528279743203
10,2021-03-28,2553,2,0.000629156393706613,0.000680397872611232
10,2021-03-29,3158,9,0.00299295211799694,0.000547732488758974
11,2021-04-15,258,0,0,0.0100630693130847
11,2021-04-16,566,5,0.00928438632888685,0.00349552240344568
11,2021-04-17,5019,7,0.00146593444944594,0.000356997312635794
