"X","t","mean","lower","upper","variable","date"
181,81,-0.0025261410557504,-0.0318570841707508,0.0194951846556986,"rt","2021-11-28"
182,82,-0.000814362353917053,-0.0275205242054766,0.0206518408382562,"rt","2021-11-29"
183,83,0.00143436724149339,-0.0249038281372136,0.0223311435330242,"rt","2021-11-30"
184,84,0.00422006184235192,-0.0203640317402021,0.0239483945041192,"rt","2021-12-01"
185,85,0.00754265383318546,-0.0144270046834765,0.0253294684579791,"rt","2021-12-02"
186,86,0.0113489405170266,-0.0076861593056263,0.0284860988354227,"rt","2021-12-03"
187,87,0.0153060772377457,-0.00381658191710532,0.0341961933590685,"rt","2021-12-04"
188,88,0.0192843379447589,-0.00124113847412699,0.0408217493297895,"rt","2021-12-05"
189,89,0.0232830009561555,0.00306564170574453,0.0441500025143135,"rt","2021-12-06"
190,90,0.0273014925623562,0.00796333564860506,0.0475416468106069,"rt","2021-12-07"
191,91,0.031293383799048,0.00911745990606361,0.0544078846499621,"rt","2021-12-08"
192,92,0.0350122209312167,0.0101082124688608,0.0633570279829403,"rt","2021-12-09"
193,93,0.0383749683132328,0.0108918079971401,0.0699918956264513,"rt","2021-12-10"
194,94,0.0413813083459399,0.0110206243799794,0.0758451708930904,"rt","2021-12-11"
195,95,0.0440306657486322,0.0101312327863843,0.0849789821069541,"rt","2021-12-12"
196,96,0.0462987668467959,0.00693009567079567,0.0943111276139483,"rt","2021-12-13"
197,97,0.0480782219268191,0.0023671488574643,0.103787207184117,"rt","2021-12-14"
198,98,0.0493378819691172,-0.0015214405405061,0.118211351188565,"rt","2021-12-15"
199,99,0.0500778446247542,-0.00603096837770021,0.126135806305207,"rt","2021-12-16"
200,100,0.0502981835802203,-0.009050172958009,0.131147455092478,"rt","2021-12-17"
201,1,NA,NA,NA,"Rt","2021-09-09"
202,2,NA,NA,NA,"Rt","2021-09-10"
203,3,NA,NA,NA,"Rt","2021-09-11"
204,4,NA,NA,NA,"Rt","2021-09-12"
205,5,NA,NA,NA,"Rt","2021-09-13"
206,6,NA,NA,NA,"Rt","2021-09-14"
207,7,NA,NA,NA,"Rt","2021-09-15"
208,8,NA,NA,NA,"Rt","2021-09-16"
209,9,NA,NA,NA,"Rt","2021-09-17"
210,10,NA,NA,NA,"Rt","2021-09-18"
211,11,NA,NA,NA,"Rt","2021-09-19"
212,12,NA,NA,NA,"Rt","2021-09-20"
213,13,NA,NA,NA,"Rt","2021-09-21"
214,14,NA,NA,NA,"Rt","2021-09-22"
215,15,1.09258139047172,0.915671260656802,1.28912582566571,"Rt","2021-09-23"
216,16,1.11552523927531,0.946126033457253,1.30341694614183,"Rt","2021-09-24"
217,17,1.13858474059902,0.966849887669108,1.32308046704532,"Rt","2021-09-25"
218,18,1.16161724707265,0.988590699638966,1.36957585572329,"Rt","2021-09-26"
219,19,1.18458190013745,0.992248187211863,1.39996720696873,"Rt","2021-09-27"
220,20,1.20747711771544,0.991219215572609,1.44485597453866,"Rt","2021-09-28"
221,21,1.23031922353968,0.995061214486006,1.48898907852783,"Rt","2021-09-29"
222,22,1.25305025006478,0.991610970842355,1.53656777267378,"Rt","2021-09-30"
223,23,1.27538850737243,0.991192499387192,1.58678058506037,"Rt","2021-10-01"
224,24,1.29696763046801,1.00212609466654,1.62666497487975,"Rt","2021-10-02"
225,25,1.31734482361524,1.02132477675038,1.65847065699235,"Rt","2021-10-03"
226,26,1.33602877015626,1.03358288105557,1.69666178953625,"Rt","2021-10-04"
227,27,1.35257541837413,1.04950319743851,1.71208926517198,"Rt","2021-10-05"
228,28,1.36662651973518,1.06065236623211,1.70076579554185,"Rt","2021-10-06"
229,29,1.37780409132508,1.0839568392231,1.69928399894388,"Rt","2021-10-07"
230,30,1.38566538704702,1.08367107420056,1.70266794639747,"Rt","2021-10-08"
231,31,1.38973105442433,1.10685709009982,1.71583200643173,"Rt","2021-10-09"
232,32,1.38967464530194,1.12846243647882,1.72125461779214,"Rt","2021-10-10"
233,33,1.38544056920909,1.1465969363095,1.71056603199405,"Rt","2021-10-11"
234,34,1.37703627393273,1.14944248308101,1.69190160925415,"Rt","2021-10-12"
235,35,1.36448037030228,1.14158687285906,1.66983636005265,"Rt","2021-10-13"
236,36,1.34781725125311,1.13640978878948,1.65467772415241,"Rt","2021-10-14"
237,37,1.32719801810574,1.10662426844788,1.6165640125435,"Rt","2021-10-15"
238,38,1.30287272061376,1.07809431214245,1.59399249729395,"Rt","2021-10-16"
239,39,1.27505537750175,1.04254317677038,1.57152571639066,"Rt","2021-10-17"
240,40,1.24388054957856,1.00703775291598,1.55322067991863,"Rt","2021-10-18"
241,41,1.20943034199405,0.966319279891145,1.54238654031427,"Rt","2021-10-19"
242,42,1.17194956758412,0.930000360495557,1.50254762101906,"Rt","2021-10-20"
243,43,1.13190042865547,0.892286195186103,1.45201565824437,"Rt","2021-10-21"
244,44,1.08973044851277,0.860145086482721,1.38439251597764,"Rt","2021-10-22"
245,45,1.045847921169,0.828727509180998,1.31040412785276,"Rt","2021-10-23"
246,46,1.00068316713345,0.787431765304639,1.23850650893424,"Rt","2021-10-24"
247,47,0.955622619762849,0.756012101523484,1.16717029532048,"Rt","2021-10-25"
248,48,0.91286623066965,0.737275246317712,1.09832853206546,"Rt","2021-10-26"
249,49,0.874206939447253,0.716138895899741,1.03734598657107,"Rt","2021-10-27"
250,50,0.841010080328783,0.6960706642923,0.996139705374946,"Rt","2021-10-28"
251,51,0.814297857060052,0.681169242539109,0.965778169629802,"Rt","2021-10-29"
252,52,0.794327361823484,0.667142830109683,0.942085037121492,"Rt","2021-10-30"
253,53,0.780783445958755,0.659924031103903,0.918364739829435,"Rt","2021-10-31"
254,54,0.773401375604821,0.661922552543952,0.909220153912705,"Rt","2021-11-01"
255,55,0.771967030337513,0.6662671680976,0.902571085226218,"Rt","2021-11-02"
256,56,0.776293517629446,0.664397481904726,0.90249557617771,"Rt","2021-11-03"
257,57,0.786023643745544,0.666808156420594,0.916746896213356,"Rt","2021-11-04"
258,58,0.800570123578459,0.670027987210713,0.947092673351053,"Rt","2021-11-05"
259,59,0.819172137528688,0.675665430439751,0.987367941185698,"Rt","2021-11-06"
260,60,0.840837362244942,0.68866920410921,1.03297849971027,"Rt","2021-11-07"
261,61,0.864373901461924,0.702364806468058,1.07885152039484,"Rt","2021-11-08"
262,62,0.888610299117417,0.715791355731831,1.11782288476301,"Rt","2021-11-09"
263,63,0.912536956002338,0.730691104463551,1.1565287889506,"Rt","2021-11-10"
264,64,0.935306202312023,0.750551205613565,1.19568912451207,"Rt","2021-11-11"
265,65,0.956257449806834,0.775583704100708,1.21526885785265,"Rt","2021-11-12"
266,66,0.974930277361426,0.800722153556884,1.23263302443749,"Rt","2021-11-13"
267,67,0.991123393990323,0.819490607633804,1.23073541686856,"Rt","2021-11-14"
268,68,1.00479190965368,0.838719196606784,1.23313436997437,"Rt","2021-11-15"
269,69,1.01592272787172,0.860955807372815,1.23140660385209,"Rt","2021-11-16"
270,70,1.02449831175232,0.872006684787947,1.23673795452141,"Rt","2021-11-17"
271,71,1.03050765367655,0.87858479811195,1.23218355449911,"Rt","2021-11-18"
272,72,1.03406099567889,0.879724682294697,1.23598200330182,"Rt","2021-11-19"
273,73,1.0353012877965,0.879469248061049,1.25076808175906,"Rt","2021-11-20"
274,74,1.03429698697673,0.869585518803443,1.25822738853454,"Rt","2021-11-21"
275,75,1.03104495254229,0.851916924626554,1.25029772043043,"Rt","2021-11-22"
276,76,1.02558773424858,0.838513697412171,1.24967894798553,"Rt","2021-11-23"
277,77,1.01858922100383,0.818458854078399,1.24619980047331,"Rt","2021-11-24"
278,78,1.01099037201669,0.802638993169844,1.23420062995371,"Rt","2021-11-25"
279,79,1.00362636209947,0.790098788989292,1.24072419743036,"Rt","2021-11-26"
280,80,0.997201809513121,0.776860904530455,1.23167903218751,"Rt","2021-11-27"
281,81,0.992333176596022,0.768038251538367,1.21324297536822,"Rt","2021-11-28"
282,82,0.989654191959974,0.770584359091628,1.19757632653461,"Rt","2021-11-29"
283,83,0.989806732208282,0.778397978469688,1.18995463849637,"Rt","2021-11-30"
284,84,0.993385571264796,0.78411379049638,1.1850116803778,"Rt","2021-12-01"
285,85,1.00092054943055,0.798762028703488,1.18848655414172,"Rt","2021-12-02"
286,86,1.01284469731819,0.824856297208367,1.18369900400271,"Rt","2021-12-03"
287,87,1.02927404126813,0.861157014476468,1.18588024813953,"Rt","2021-12-04"
288,88,1.05016976916896,0.895971037973093,1.19231674463876,"Rt","2021-12-05"
289,89,1.07540820738867,0.927707034798664,1.2110811953253,"Rt","2021-12-06"
290,90,1.10476404424083,0.962944015133303,1.23918336394452,"Rt","2021-12-07"
291,91,1.13790331430815,1.01172043584572,1.26892566834805,"Rt","2021-12-08"
292,92,1.17424780030479,1.04475253463977,1.3085604674387,"Rt","2021-12-09"
293,93,1.21310990636111,1.07167721991235,1.35936724284049,"Rt","2021-12-10"
294,94,1.25374359447169,1.09110310926586,1.42429175189969,"Rt","2021-12-11"
295,95,1.2953610204736,1.1075285090727,1.50255157850221,"Rt","2021-12-12"
296,96,1.33718431668268,1.10897360297833,1.59609640859856,"Rt","2021-12-13"
