t,value,iter,variable
91,5000.0,66,nSamples
92,5000.0,66,nSamples
93,5000.0,66,nSamples
94,5000.0,66,nSamples
95,5000.0,66,nSamples
96,5000.0,66,nSamples
97,5000.0,66,nSamples
98,5000.0,66,nSamples
99,5000.0,66,nSamples
100,5000.0,66,nSamples
1,5000.0,67,nSamples
2,5000.0,67,nSamples
3,5000.0,67,nSamples
4,5000.0,67,nSamples
5,5000.0,67,nSamples
6,5000.0,67,nSamples
7,5000.0,67,nSamples
8,5000.0,67,nSamples
9,5000.0,67,nSamples
10,5000.0,67,nSamples
11,5000.0,67,nSamples
12,5000.0,67,nSamples
13,5000.0,67,nSamples
14,5000.0,67,nSamples
15,5000.0,67,nSamples
16,5000.0,67,nSamples
17,5000.0,67,nSamples
18,5000.0,67,nSamples
19,5000.0,67,nSamples
20,5000.0,67,nSamples
21,5000.0,67,nSamples
22,5000.0,67,nSamples
23,5000.0,67,nSamples
24,5000.0,67,nSamples
25,5000.0,67,nSamples
26,5000.0,67,nSamples
27,5000.0,67,nSamples
28,5000.0,67,nSamples
29,5000.0,67,nSamples
30,5000.0,67,nSamples
31,5000.0,67,nSamples
32,5000.0,67,nSamples
33,5000.0,67,nSamples
34,5000.0,67,nSamples
35,5000.0,67,nSamples
36,5000.0,67,nSamples
37,5000.0,67,nSamples
38,5000.0,67,nSamples
39,5000.0,67,nSamples
40,5000.0,67,nSamples
41,5000.0,67,nSamples
42,5000.0,67,nSamples
43,5000.0,67,nSamples
44,5000.0,67,nSamples
45,5000.0,67,nSamples
46,5000.0,67,nSamples
47,5000.0,67,nSamples
48,5000.0,67,nSamples
49,5000.0,67,nSamples
50,5000.0,67,nSamples
51,5000.0,67,nSamples
52,5000.0,67,nSamples
53,5000.0,67,nSamples
54,5000.0,67,nSamples
55,5000.0,67,nSamples
56,5000.0,67,nSamples
57,5000.0,67,nSamples
58,5000.0,67,nSamples
59,5000.0,67,nSamples
60,5000.0,67,nSamples
61,5000.0,67,nSamples
62,5000.0,67,nSamples
63,5000.0,67,nSamples
64,5000.0,67,nSamples
65,5000.0,67,nSamples
66,5000.0,67,nSamples
67,5000.0,67,nSamples
68,5000.0,67,nSamples
69,5000.0,67,nSamples
70,5000.0,67,nSamples
71,5000.0,67,nSamples
72,5000.0,67,nSamples
73,5000.0,67,nSamples
74,5000.0,67,nSamples
75,5000.0,67,nSamples
76,5000.0,67,nSamples
77,5000.0,67,nSamples
78,5000.0,67,nSamples
79,5000.0,67,nSamples
80,5000.0,67,nSamples
81,5000.0,67,nSamples
82,5000.0,67,nSamples
83,5000.0,67,nSamples
84,5000.0,67,nSamples
85,5000.0,67,nSamples
86,5000.0,67,nSamples
87,5000.0,67,nSamples
88,5000.0,67,nSamples
89,5000.0,67,nSamples
90,5000.0,67,nSamples
91,5000.0,67,nSamples
92,5000.0,67,nSamples
93,5000.0,67,nSamples
94,5000.0,67,nSamples
95,5000.0,67,nSamples
96,5000.0,67,nSamples
97,5000.0,67,nSamples
98,5000.0,67,nSamples
99,5000.0,67,nSamples
100,5000.0,67,nSamples
1,5000.0,68,nSamples
2,5000.0,68,nSamples
3,5000.0,68,nSamples
4,5000.0,68,nSamples
5,5000.0,68,nSamples
6,5000.0,68,nSamples
7,5000.0,68,nSamples
8,5000.0,68,nSamples
9,5000.0,68,nSamples
10,5000.0,68,nSamples
11,5000.0,68,nSamples
12,5000.0,68,nSamples
13,5000.0,68,nSamples
14,5000.0,68,nSamples
15,5000.0,68,nSamples
16,5000.0,68,nSamples
17,5000.0,68,nSamples
18,5000.0,68,nSamples
19,5000.0,68,nSamples
20,5000.0,68,nSamples
21,5000.0,68,nSamples
22,5000.0,68,nSamples
23,5000.0,68,nSamples
24,5000.0,68,nSamples
25,5000.0,68,nSamples
26,5000.0,68,nSamples
27,5000.0,68,nSamples
28,5000.0,68,nSamples
29,5000.0,68,nSamples
30,5000.0,68,nSamples
31,5000.0,68,nSamples
32,5000.0,68,nSamples
33,5000.0,68,nSamples
34,5000.0,68,nSamples
35,5000.0,68,nSamples
36,5000.0,68,nSamples
37,5000.0,68,nSamples
38,5000.0,68,nSamples
39,5000.0,68,nSamples
40,5000.0,68,nSamples
